drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
11/6/2013,5,18,21,22,33,0,219,10
11/5/2013,1,6,9,22,31,0,184.5,8.5
11/4/2013,6,7,23,28,36,225000,312.5,11
11/3/2013,3,8,12,23,34,0,151.5,8
11/2/2013,6,7,12,27,29,325000,166.5,8
11/1/2013,11,16,21,25,40,0,356.5,12
10/31/2013,8,9,31,34,38,0,322,13.5
10/30/2013,10,12,13,29,30,700000,205.5,9
10/29/2013,12,19,29,33,42,0,247.5,11.5
10/28/2013,8,22,26,32,41,0,430.5,13.5
10/27/2013,1,6,13,32,41,0,262.5,14
10/26/2013,6,13,15,22,29,0,213.5,9
10/25/2013,3,14,22,27,28,125000,204.5,9.5
10/24/2013,16,33,38,39,40,225000,388,16.5
10/23/2013,14,27,29,38,43,0,292.5,15.5
10/22/2013,2,3,18,21,31,700000,240.5,10
10/21/2013,4,20,23,26,42,0,309.5,12
10/20/2013,16,24,25,32,33,0,295.5,13.5
10/19/2013,6,10,33,38,41,0,351.5,14.5
10/18/2013,7,12,19,32,36,0,262,10.5
10/17/2013,10,13,19,27,37,325000,228.5,10
10/16/2013,16,18,35,37,38,0,452,15.5
10/15/2013,3,4,18,36,43,0,301.5,14.5
10/14/2013,2,21,34,36,39,1000000,321.5,13.5
10/13/2013,1,5,10,31,38,0,233,10.5
10/12/2013,1,6,11,36,43,0,291.5,12
10/11/2013,5,15,29,33,37,0,301,11.5
10/10/2013,4,16,20,27,33,0,281,11.5
10/9/2013,1,5,31,37,41,0,348.5,15
10/8/2013,20,23,26,36,39,700000,285,13.5
10/7/2013,1,2,9,37,41,0,307,13
10/6/2013,17,18,20,21,42,0,317.5,13.5
10/5/2013,8,11,19,25,38,0,197,9
10/4/2013,9,11,18,38,40,0,344.5,12
10/3/2013,4,7,17,20,27,325000,145,7.5
10/2/2013,5,11,14,26,38,0,278.5,10
10/1/2013,3,4,22,27,36,0,241.5,11
9/30/2013,5,17,20,24,33,125000,213.5,9.5
9/29/2013,1,10,11,14,18,125000,125.5,7.5
9/28/2013,15,18,23,39,41,500000,359.5,13.5
9/27/2013,9,15,30,31,38,0,271.5,12.5
9/26/2013,1,9,11,21,38,0,191.5,9
9/25/2013,6,13,30,37,38,0,283.5,14.5
9/24/2013,4,5,12,25,34,700000,246,9.5
9/23/2013,4,7,9,29,35,0,239,9.5
9/22/2013,7,9,14,28,32,0,197,9
9/21/2013,12,17,30,35,40,0,420,14
9/20/2013,4,24,30,35,43,0,405.5,14.5
9/19/2013,1,3,13,15,32,1000000,218,10.5
9/18/2013,6,7,24,38,43,0,311,12.5
9/17/2013,12,16,25,28,33,0,241,11
9/16/2013,11,13,29,34,35,0,302.5,12
9/15/2013,15,23,32,34,41,0,354,15
9/14/2013,1,10,16,25,28,0,147,9
9/13/2013,6,24,29,32,35,700000,349.5,12.5
9/12/2013,8,24,30,33,43,0,314.5,12.5
9/11/2013,25,26,30,31,33,0,306,13
9/10/2013,2,5,18,39,43,0,274,12.5
9/9/2013,13,25,29,35,41,0,589.5,15
9/8/2013,3,11,18,29,41,1000000,261.5,11
9/7/2013,19,23,25,29,30,0,204.5,10
9/6/2013,11,29,30,40,43,0,335,13.5
9/5/2013,3,10,13,34,40,0,327,12
9/4/2013,2,4,22,32,43,0,283.5,13
9/3/2013,10,21,22,25,29,0,209,9.5
9/2/2013,27,28,31,34,40,225000,376.5,16
9/1/2013,6,16,19,26,35,0,219.5,11
8/31/2013,1,7,15,25,35,125000,228.5,9.5
8/30/2013,6,7,22,35,37,500000,340,12
8/29/2013,1,3,9,24,37,0,226,9.5
8/28/2013,9,17,20,27,42,0,246.5,11.5
8/27/2013,2,4,8,14,37,0,272.5,9.5
8/26/2013,6,21,22,29,30,700000,263.5,11
8/25/2013,7,9,13,19,43,0,217.5,9
8/24/2013,1,16,26,29,39,0,246,12.5
8/23/2013,5,24,30,34,42,0,405,13.5
8/22/2013,10,12,20,25,31,0,197.5,8
8/21/2013,5,9,24,27,38,700000,220.5,10
8/20/2013,7,10,31,37,40,0,318.5,13
8/19/2013,4,7,11,16,38,0,176,8.5
8/18/2013,10,15,17,34,40,0,267.5,14
8/17/2013,16,33,36,41,43,0,491.5,16.5
8/16/2013,7,11,18,19,43,225000,245,9
8/15/2013,7,24,25,26,42,0,364.5,12.5
8/14/2013,6,16,23,27,42,325000,286,12
8/13/2013,15,18,19,35,37,0,343.5,14
8/12/2013,10,17,27,37,43,0,222,12.5
8/11/2013,1,12,22,34,39,700000,251.5,11.5
8/10/2013,1,8,18,41,43,0,303,12.5
8/9/2013,10,12,19,24,37,0,178.5,9
8/8/2013,1,4,17,26,42,0,209.5,12
8/7/2013,5,14,28,38,40,0,305,13.5
8/6/2013,1,3,6,25,41,700000,268,11
8/5/2013,8,15,30,33,40,0,264.5,12.5
8/4/2013,11,12,28,31,43,0,344,11.5
8/3/2013,2,15,22,38,39,0,314,13
8/2/2013,6,8,31,33,41,0,473.5,14.5
8/1/2013,2,9,11,29,34,125000,213.5,9
7/31/2013,4,9,17,23,39,125000,170,8
7/30/2013,2,7,11,22,33,500000,110.5,7.5
7/29/2013,12,16,19,25,31,0,212.5,9.5
7/28/2013,8,20,28,34,38,0,288,12
