drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2014-08-26,8,9,18,19,36,125569,401,10
2014-08-27,2,10,18,22,26,0,296,9
2014-08-28,6,12,13,20,25,148862,435,9
2014-08-29,6,9,13,18,19,0,372,8
2014-08-30,10,15,16,24,36,0,523,11
2014-08-31,3,6,10,27,29,247922,313,9
2014-09-01,27,30,32,33,38,29019,642,14
2014-09-02,1,3,9,11,21,30978,219,6
2014-09-03,11,20,25,29,36,62299,577,12
2014-09-04,11,14,20,24,29,0,436,9
2014-09-05,6,10,21,27,34,0,546,11
2014-09-06,11,28,32,36,39,266893,719,12
2014-09-07,7,12,26,27,35,56663,534,11
2014-09-08,1,17,23,29,33,65110,581,10
2014-09-09,2,4,5,14,38,0,703,9
2014-09-10,12,29,35,37,40,0,631,13
2014-09-11,1,8,11,34,35,257976,701,12
2014-09-12,3,22,25,30,39,0,497,12
2014-09-13,11,18,24,30,35,0,653,12
2014-09-14,4,20,24,26,43,0,799,17
2014-09-15,4,10,12,20,43,397978,523,14
2014-09-16,15,24,27,32,42,0,883,19
2014-09-17,7,8,20,29,30,0,417,13
2014-09-18,8,28,30,36,41,0,705,17
2014-09-19,5,8,16,28,29,267134,337,12
2014-09-20,6,28,35,38,42,0,769,20
2014-09-21,7,15,32,35,36,0,594,17
2014-09-22,4,12,27,37,43,303520,572,16
2014-09-23,2,6,9,17,19,0,243,10
2014-09-24,6,26,27,29,38,0,524,15
2014-09-25,6,8,19,34,39,0,566,15
2014-09-26,6,7,13,30,32,258492,573,14
2014-09-27,2,25,28,37,41,0,576,20
2014-09-28,4,14,20,21,27,0,388,13
2014-09-29,9,21,26,28,31,0,422,14
2014-09-30,8,13,19,21,31,469173,358,12
2014-10-01,1,6,12,23,26,40031,270,12
2014-10-02,6,7,11,27,29,0,245,9
2014-10-03,12,27,28,38,40,0,551,16
2014-10-04,2,7,8,12,37,0,462,12
2014-10-05,1,6,19,21,30,0,418,12
2014-10-06,3,4,29,32,34,0,608,16
2014-10-07,1,2,20,32,40,507103,534,16
2014-10-08,7,11,20,26,41,0,597,15
2014-10-09,9,18,19,20,40,0,614,14
2014-10-10,5,17,26,36,42,340487,634,17
2014-10-11,3,10,16,36,41,0,713,18
2014-10-12,5,11,14,29,31,81763,400,12
2014-10-13,3,4,37,39,42,0,625,21
2014-10-14,10,18,32,34,43,0,518,18
2014-10-15,8,10,13,22,27,314533,263,11
2014-10-16,22,23,27,28,30,0,485,14
2014-10-17,20,29,32,34,43,192916,737,19
2014-10-18,13,27,34,35,38,74179,865,18
2014-10-19,1,2,23,32,36,0,557,18
2014-10-20,3,10,14,24,37,166060,484,13
2014-10-21,3,4,6,12,36,0,368,12
2014-10-22,14,19,38,41,42,0,869,22
2014-10-23,4,9,14,16,41,0,542,15
2014-10-24,1,2,5,38,42,0,566,16
2014-10-25,8,26,28,31,36,646555,517,15
2014-10-26,27,30,35,40,42,0,749,20
2014-10-27,2,3,12,21,32,166837,419,13
2014-10-28,7,8,10,33,41,0,522,16
2014-10-29,4,11,21,30,43,171755,603,14
2014-10-30,15,19,25,29,31,39317,350,13
2014-10-31,5,12,25,27,34,82254,376,12
